dataset,product_number,title,revision_date,posted_date,pdf_url,source_page_url,kind,revision_year
current,Publication 1,Your Rights As A Taxpayer,Sep 2017,10/31/2017,https://www.irs.gov/pub/irs-pdf/p1.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (AR),Your Rights As A Taxpayer (Arabic Version),Sep 2017,08/05/2020,https://www.irs.gov/pub/irs-pdf/p1ar.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (BN),Your Rights As A Taxpayer (Bengali Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1bn.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (FA),Your Rights As A Taxpayer (Farsi Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1fa.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (FR),Your Rights As A Taxpayer (French Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1fr.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (GUJ),Your Rights As A Taxpayer (Gujarati Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1guj.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (HT),Your Rights As A Taxpayer (Haitian Creole Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1ht.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (IT),Your Rights As A Taxpayer (Italian Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1it.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (JA),Your Rights As A Taxpayer (Japanese Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1ja.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (KM),Your Rights As A Taxpayer (Khmer-Central (Cambodia) Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1km.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (KO),Your Rights As A Taxpayer (Korean Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1ko.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (PA),Your Rights As A Taxpayer (Punjabi Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1pa.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (PL),Your Rights As A Taxpayer (Polish Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1pl.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (PT),Your Rights As A Taxpayer (Portuguese Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1pt.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (RU),Your Rights As A Taxpayer (Russian Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1ru.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (SP),Your Rights As A Taxpayer (Spanish Version),Oct 2017,05/18/2020,https://www.irs.gov/pub/irs-pdf/p1sp.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (TL),Your Rights As A Taxpayer (Tagalog Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1tl.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (UR),Your Rights As A Taxpayer (Urdu Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1ur.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (VIE),Your Rights As A Taxpayer (Vietnamese Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1vie.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (ZH-S),Your Rights As A Taxpayer (Chinese-Simplied Version),Sep 2017,07/31/2020,https://www.irs.gov/pub/irs-pdf/p1zhs.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 1 (ZH-T),Your Rights As A Taxpayer (Chinese-Traditional Version),Sep 2017,08/27/2020,https://www.irs.gov/pub/irs-pdf/p1zht.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2017
current,Publication 3,Armed Forces' Tax Guide,2025,01/15/2026,https://www.irs.gov/pub/irs-pdf/p3.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2025
current,Publication 5,Your Appeal Rights and How to Prepare a Protest if You Disagree,Apr 2021,05/11/2021,https://www.irs.gov/pub/irs-pdf/p5.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2021
current,Publication 5 (sp),Your Appeal Rights and How to Prepare a Protest if you Don't Agree (Spanish version),Apr 2021,10/21/2021,https://www.irs.gov/pub/irs-pdf/p5sp.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2021
current,Form 11-C,Occupational Tax and Registration Return for Wagering,Dec 2017,12/21/2017,https://www.irs.gov/pub/irs-pdf/f11c.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,form,2017
current,Publication 15,(Circular E) Employer's Tax Guide,2026,12/17/2025,https://www.irs.gov/pub/irs-pdf/p15.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2026
current,Publication 15-A,Employer's Supplemental Tax Guide,2026,12/17/2025,https://www.irs.gov/pub/irs-pdf/p15a.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2026
current,Publication 15-B,Employers Tax Guide to Fringe Benefits,2026,12/23/2025,https://www.irs.gov/pub/irs-pdf/p15b.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2026
current,Publication 15 (sp),"(Circular E), Employer's Tax Guide (Spanish Version)",2026,02/25/2026,https://www.irs.gov/pub/irs-pdf/p15sp.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2026
current,Publication 15-T,Federal Income Tax Withholding Methods,2026,12/11/2025,https://www.irs.gov/pub/irs-pdf/p15t.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2026
current,Publication 16,Statistics of Income - Corporation Income Tax Returns Complete Report,Sep 2025,09/30/2025,https://www.irs.gov/pub/irs-pdf/p16.pdf,https://www.irs.gov/forms-instructions-and-publications?items_per_page=200&page=0,publication,2025
