dataset,product_number,title,revision_date,posted_date,pdf_url,source_page_url,kind,revision_year
prior,Publication 1,Your Rights As A Taxpayer,2017,,https://www.irs.gov/pub/irs-prior/p1--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1,Your Rights As A Taxpayer,2014,,https://www.irs.gov/pub/irs-prior/p1--2014.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2014
prior,Publication 1,Your Rights As A Taxpayer,2012,,https://www.irs.gov/pub/irs-prior/p1--2012.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2012
prior,Publication 1,Your Rights As A Taxpayer,2005,,https://www.irs.gov/pub/irs-prior/p1--2005.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2005
prior,Publication 1,Your Rights As A Taxpayer,2000,,https://www.irs.gov/pub/irs-prior/p1--2000.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2000
prior,Publication 1,Your Rights As A Taxpayer,1998,,https://www.irs.gov/pub/irs-prior/p1--1998.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,1998
prior,Publication 1,Your Rights As A Taxpayer,1996,,https://www.irs.gov/pub/irs-prior/p1--1996.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,1996
prior,Publication 1 (AR),Your Rights As A Taxpayer (Arabic Version),2017,,https://www.irs.gov/pub/irs-prior/p1ar--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (BN),Your Rights As A Taxpayer (Bengali Version),2017,,https://www.irs.gov/pub/irs-prior/p1bn--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (CN-T),Your Rights As A Taxpayer (Chinese Traditional Version),2017,,https://www.irs.gov/pub/irs-prior/p1cnt--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (FA),Your Rights As A Taxpayer (Farsi Version),2017,,https://www.irs.gov/pub/irs-prior/p1fa--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (FR),Your Rights As A Taxpayer (French Version),2017,,https://www.irs.gov/pub/irs-prior/p1fr--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (GUJ),Your Rights As A Taxpayer (Gujarati Version),2017,,https://www.irs.gov/pub/irs-prior/p1guj--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (HT),Your Rights As A Taxpayer (Haitian Creole Version),2017,,https://www.irs.gov/pub/irs-prior/p1ht--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (IT),Your Rights As A Taxpayer (Italian Version),2017,,https://www.irs.gov/pub/irs-prior/p1it--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (JA),Your Rights As A Taxpayer (Japanese Version),2017,,https://www.irs.gov/pub/irs-prior/p1ja--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (KM),Your Rights As A Taxpayer (Khmer-Central (Cambodia) Version),2017,,https://www.irs.gov/pub/irs-prior/p1km--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (KO),Your Rights As A Taxpayer (Korean Version),2017,,https://www.irs.gov/pub/irs-prior/p1ko--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (PA),Your Rights As A Taxpayer (Punjabi Version),2017,,https://www.irs.gov/pub/irs-prior/p1pa--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (PL),Your Rights As A Taxpayer (Polish Version),2017,,https://www.irs.gov/pub/irs-prior/p1pl--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (PT),Your Rights As A Taxpayer (Portuguese Version),2017,,https://www.irs.gov/pub/irs-prior/p1pt--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (RU),Your Rights As A Taxpayer (Russian Version),2017,,https://www.irs.gov/pub/irs-prior/p1ru--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (SP),Your Rights As A Taxpayer (Spanish Version),2017,,https://www.irs.gov/pub/irs-prior/p1sp--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
prior,Publication 1 (SP),Derechos del Contribuyente,2014,,https://www.irs.gov/pub/irs-prior/p1sp--2014.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2014
prior,Publication 1 (SP),Derechos del Contribuyente,2012,,https://www.irs.gov/pub/irs-prior/p1sp--2012.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2012
prior,Publication 1 (TL),Your Rights As A Taxpayer (Tagalog Version),2017,,https://www.irs.gov/pub/irs-prior/p1tl--2017.pdf,https://www.irs.gov/prior-year-forms-and-instructions?items_per_page=200&page=0,publication,2017
